# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	105037	105957	+					ddlB		ECB_00093	921		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	105037	105957	+	ACT37786.1			D-alanylalanine synthetase	ddlB		ECB_00093	921	306	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	105959	106789	+					ftsQ		ECB_00094	831		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	105959	106789	+	ACT37787.1			membrane anchored protein	ftsQ		ECB_00094	831	276	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	106786	108048	+					ftsA		ECB_00095	1263		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	106786	108048	+	ACT37788.1			cell division protein	ftsA		ECB_00095	1263	420	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	108109	109260	+					ftsZ		ECB_00096	1152		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	108109	109260	+	ACT37789.1			cell division protein FtsZ	ftsZ		ECB_00096	1152	383	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	109361	110278	+					lpxC		ECB_00097	918		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	109361	110278	+	ACT37790.1			UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	lpxC		ECB_00097	918	305	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	110509	111021	+					yacA		ECB_00098	513		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	110509	111021	+	ACT37791.1			SecA regulator SecM	yacA		ECB_00098	513	170	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	111083	113788	+					secA		ECB_00099	2706		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	111083	113788	+	ACT37792.1			translocase	secA		ECB_00099	2706	901	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	113848	114237	+					mutT		ECB_00100	390		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	113848	114237	+	ACT37793.1			nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	mutT		ECB_00100	390	129	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	114453	114650	-					yacG		ECB_00101	198		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	114453	114650	-	ACT37794.1			zinc-binding protein	yacG		ECB_00101	198	65	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	114660	115403	-					yacF		ECB_00102	744		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	114660	115403	-	ACT37795.1			hypothetical protein	yacF		ECB_00102	744	247	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	115403	116023	-					coaE		ECB_00103	621		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	115403	116023	-	ACT37796.1			dephospho-CoA kinase	coaE		ECB_00103	621	206	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	116248	117291	+					guaC		ECB_00104	1044		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	116248	117291	+	ACT37797.1			guanosine 5'-monophosphate oxidoreductase	guaC		ECB_00104	1044	347	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	117326	118528	-					hofC		ECB_00105	1203		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	117326	118528	-	ACT37798.1			assembly protein in type IV pilin biogenesis, transmembrane protein	hofC		ECB_00105	1203	400	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	118518	119903	-					hofB		ECB_00106	1386		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	118518	119903	-	ACT37799.1			conserved hypothetical protein with nucleoside triphosphate hydrolase domain	hofB		ECB_00106	1386	461	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	119913	120353	-					ppdD		ECB_00107	441		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	119913	120353	-	ACT37800.1			predicted major pilin subunit	ppdD		ECB_00107	441	146	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	120556	121449	-					nadC		ECB_00108	894		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	120556	121449	-	ACT37801.1			nicotinate-nucleotide pyrophosphorylase	nadC		ECB_00108	894	297	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	121537	122088	+					ampD		ECB_00109	552		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	121537	122088	+	ACT37802.1			N-acetyl-anhydromuranmyl-L-alanine amidase	ampD		ECB_00109	552	183	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	122085	122939	+					ampE		ECB_00110	855		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	122085	122939	+	ACT37803.1			predicted inner membrane protein	ampE		ECB_00110	855	284	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	122982	124355	-					aroP		ECB_00111	1374		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	122982	124355	-	ACT37804.1			aromatic amino acid transporter	aroP		ECB_00111	1374	457	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	124896	125660	+					pdhR		ECB_00112	765		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	124896	125660	+	ACT37805.1			transcriptional regulator of pyruvate dehydrogenase complex	pdhR		ECB_00112	765	254	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	125821	128484	+					aceE		ECB_00113	2664		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	125821	128484	+	ACT37806.1			pyruvate dehydrogenase subunit E1	aceE		ECB_00113	2664	887	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	128499	130391	+					aceF		ECB_00114	1893		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	128499	130391	+	ACT37807.1			dihydrolipoamide acetyltransferase	aceF		ECB_00114	1893	630	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	130716	132140	+					lpdA		ECB_00115	1425		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	130716	132140	+	ACT37808.1			dihydrolipoamide dehydrogenase	lpdA		ECB_00115	1425	474	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	132211	134064	-					yacH		ECB_00116	1854		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	132211	134064	-	ACT37809.1			hypothetical protein	yacH		ECB_00116	1854	617	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	134419	137016	+					acnB		ECB_00117	2598		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	134419	137016	+	ACT37810.1			aconitate hydratase	acnB		ECB_00117	2598	865	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	137191	137553	+					yacL		ECB_00118	363		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	137191	137553	+	ACT37811.1			hypothetical protein	yacL		ECB_00118	363	120	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	137591	138385	-					speD		ECB_00119	795		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	137591	138385	-	ACT37812.1			S-adenosylmethionine decarboxylase proenzyme	speD		ECB_00119	795	264	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	138401	139267	-					speE		ECB_00120	867		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	138401	139267	-	ACT37813.1			spermidine synthase	speE		ECB_00120	867	288	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	139373	139720	-					yacC		ECB_00121	348		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	139373	139720	-	ACT37814.1			hypothetical protein	yacC		ECB_00121	348	115	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	139886	141436	+					cueO		ECB_00122	1551		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	139886	141436	+	ACT37815.1			multicopper oxidase (laccase)	cueO		ECB_00122	1551	516	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	141638	144028	-					gcd		ECB_00123	2391		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	141638	144028	-	ACT37816.1			glucose dehydrogenase	gcd		ECB_00123	2391	796	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	144234	144770	+					hpt		ECB_00124	537		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	144234	144770	+	ACT37817.1			hypoxanthine-guanine phosphoribosyltransferase	hpt		ECB_00124	537	178	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	144811	145473	-					yadF		ECB_00125	663		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	144811	145473	-	ACT37818.1			carbonic anhydrase	yadF		ECB_00125	663	220	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	145582	146508	+					yadG		ECB_00126	927		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	145582	146508	+	ACT37819.1			predicted transporter subunit: ATP-binding component of ABC superfamily	yadG		ECB_00126	927	308	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	146505	147275	+					yadH		ECB_00127	771		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	146505	147275	+	ACT37820.1			predicted transporter subunit: membrane component of ABC superfamily	yadH		ECB_00127	771	256	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	147380	147820	+					yadI		ECB_00128	441		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	147380	147820	+	ACT37821.1			predicted PTS Enzyme IIA	yadI		ECB_00128	441	146	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	147884	149113	+					yadE		ECB_00129	1230		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	147884	149113	+	ACT37822.1			predicted polysaccharide deacetylase lipoprotein	yadE		ECB_00129	1230	409	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	149117	149497	-					panD		ECB_00130	381		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	149117	149497	-	ACT37823.1			aspartate 1-decarboxylase precursor	panD		ECB_00130	381	126	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	149771	150673	+					yadD		ECB_00131	903		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	149771	150673	+	ACT37824.1			predicted transposase	yadD		ECB_00131	903	300	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	150747	151598	-					panC		ECB_00132	852		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	150747	151598	-	ACT37825.1			pantoate-beta-alanine ligase	panC		ECB_00132	852	283	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	151610	152404	-					panB		ECB_00133	795		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	151610	152404	-	ACT37826.1			3-methyl-2-oxobutanoate hydroxymethyltransferase	panB		ECB_00133	795	264	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	152517	153863	-					yadC		ECB_00134	1347		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	152517	153863	-	ACT37827.1			predicted fimbrial-like adhesin protein	yadC		ECB_00134	1347	448	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	153844	154440	-					yadK		ECB_00135	597		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	153844	154440	-	ACT37828.1			predicted fimbrial-like adhesin protein	yadK		ECB_00135	597	198	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	154467	155069	-					yadL		ECB_00136	603		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	154467	155069	-	ACT37829.1			predicted fimbrial-like adhesin protein	yadL		ECB_00136	603	200	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	155084	155653	-					yadM		ECB_00137	570		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	155084	155653	-	ACT37830.1			predicted fimbrial-like adhesin protein	yadM		ECB_00137	570	189	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	155670	158270	-					htrE		ECB_00138	2601		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	155670	158270	-	ACT37831.1			predicted outer membrane usher protein	htrE		ECB_00138	2601	866	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	158305	159045	-					ecpD		ECB_00139	741		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	158305	159045	-	ACT37832.1			predicted periplasmic pilin chaperone	ecpD		ECB_00139	741	246	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	159150	159734	-					yadN		ECB_00140	585		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	159150	159734	-	ACT37833.1			predicted fimbrial-like adhesin protein	yadN		ECB_00140	585	194	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	160104	160583	-					folK		ECB_00141	480		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	160104	160583	-	ACT37834.1			2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	folK		ECB_00141	480	159	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	160580	161944	-					pcnB		ECB_00142	1365		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	160580	161944	-	ACT37835.1			poly(A) polymerase I	pcnB		ECB_00142	1365	454	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	162037	162963	-					yadB		ECB_00143	927		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	162037	162963	-	ACT37836.1			glutamyl-Q tRNA(Asp) synthetase	yadB		ECB_00143	927	308	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	163000	163455	-					dksA		ECB_00144	456		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	163000	163455	-	ACT37837.1			DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein	dksA		ECB_00144	456	151	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	163633	164337	-					sfsA		ECB_00145	705		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	163633	164337	-	ACT37838.1			sugar fermentation stimulation protein A	sfsA		ECB_00145	705	234	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	164352	164882	-					ligT		ECB_00146	531		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	164352	164882	-	ACT37839.1			2'-5' RNA ligase	ligT		ECB_00146	531	176	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	164956	167385	+					hrpB		ECB_00147	2430		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	164956	167385	+	ACT37840.1			predicted ATP-dependent helicase	hrpB		ECB_00147	2430	809	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	167581	170106	+					mrcB		ECB_00148	2526		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	167581	170106	+	ACT37841.1			penicillin-binding protein 1b	mrcB		ECB_00148	2526	841	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	170326	172569	+					fhuA		ECB_00149	2244		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	170326	172569	+	ACT37842.1			ferrichrome outer membrane transporter	fhuA		ECB_00149	2244	747	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	172620	173417	+					fhuC		ECB_00150	798		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	172620	173417	+	ACT37843.1			iron-hydroxamate transporter subunit	fhuC		ECB_00150	798	265	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	173417	174307	+					fhuD		ECB_00151	891		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	173417	174307	+	ACT37844.1			iron-hydroxamate transporter subunit	fhuD		ECB_00151	891	296	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	174304	176286	+					fhuB		ECB_00152	1983		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	174304	176286	+	ACT37845.1			fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components	fhuB		ECB_00152	1983	660	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	176444	177724	-					hemL		ECB_00153	1281		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	176444	177724	-	ACT37846.1			glutamate-1-semialdehyde aminotransferase	hemL		ECB_00153	1281	426	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	177949	179370	+					yadQ		ECB_00154	1422		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	177949	179370	+	ACT37847.1			chloride channel protein	yadQ		ECB_00154	1422	473	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	179452	179796	+					yadR		ECB_00155	345		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	179452	179796	+	ACT37848.1			hypothetical protein	yadR		ECB_00155	345	114	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	179843	180466	-					yadS		ECB_00156	624		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	179843	180466	-	ACT37849.1			conserved inner membrane protein	yadS		ECB_00156	624	207	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	180504	181304	-					yadT		ECB_00157	801		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	180504	181304	-	ACT37850.1			vitamin B12-transporter protein BtuF	yadT		ECB_00157	801	266	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	181297	181995	-					pfs		ECB_00158	699		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	181297	181995	-	ACT37851.1			5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	pfs		ECB_00158	699	232	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	182079	183596	+					dgt		ECB_00159	1518		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	182079	183596	+	ACT37852.1			deoxyguanosinetriphosphate triphosphohydrolase	dgt		ECB_00159	1518	505	
gene	protein_coding	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	183726	185150	+					degP		ECB_00160	1425		
CDS	with_protein	GCA_000017985.1	Primary Assembly	chromosome		CP000819.1	183726	185150	+	ACT37853.1			serine endoprotease (protease Do), membrane-associated	degP		ECB_00160	1425	474	
